Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2010,110644,University of California-Davis,1,Main Campus,31392,0,0,10,,,0,,,0,2,13,0,0
2010,110398,University of California-Hastings College of Law,1,Main Campus,1304,0,0,0,,,0,,,0,0,0,0,0
2010,110653,University of California-Irvine,1,UCI Main Campus,26994,0,0,2,,,0,,,0,2,16,0,1
2010,110662,University of California-Los Angeles,1,UCLA,38157,0,0,4,,,1,,,0,0,24,1,0
2010,445188,University of California-Merced,1,Main Campus,4381,0,0,0,,,0,,,0,0,0,0,0
2010,110671,University of California-Riverside,1,Main Campus,20692,0,0,2,,,0,,,3,3,12,0,1
2010,110680,University of California-San Diego,1,Main Campus,29176,0,0,6,,,0,,,0,1,18,0,0
2010,110699,University of California-San Francisco,1,Main Campus - Parnassus,3024,0,0,1,,,0,,,0,0,0,0,0
2010,110705,University of California-Santa Barbara,1,Main Campus,22218,0,0,0,,,0,,,0,0,35,0,1
2010,110714,University of California-Santa Cruz,1,Main Campus,17187,0,0,1,,,0,,,0,2,25,0,0
2011,110635,University of California-Berkeley,1,Main Campus,36137,0,0,9,,,0,,,2,1,6,0,0
2011,110635,University of California-Berkeley,3,University of California Washington Academic Cente,36137,0,0,0,,,0,,,0,0,0,0,0
2011,110644,University of California-Davis,1,Main Campus,31732,0,0,5,,,0,,,0,0,32,0,0
2011,110398,University of California-Hastings College of Law,1,Main Campus,1289,0,0,0,,,0,,,0,0,0,0,0
2011,110653,University of California-Irvine,1,UCI Main Campus,27189,0,0,3,,,0,,,0,0,17,0,1
2011,110662,University of California-Los Angeles,1,UCLA,39271,0,0,6,,,0,,,0,0,22,0,0
2011,445188,University of California-Merced,1,Main Campus,5198,0,0,0,,,0,,,0,1,0,0,0
2011,110671,University of California-Riverside,1,Main Campus,20900,0,0,5,,,0,,,1,1,21,0,0
2011,110680,University of California-San Diego,1,Main Campus,28593,0,0,6,,,0,,,0,2,10,0,1
2011,110699,University of California-San Francisco,1,Main Campus - Parnassus,3054,0,0,0,,,0,,,0,0,0,0,0
2011,110705,University of California-Santa Barbara,1,Main Campus,21685,0,0,6,,,0,,,0,0,17,0,2
2011,110714,University of California-Santa Cruz,1,Main Campus,17454,0,0,2,,,0,,,0,3,16,0,2
2012,110635,University of California-Berkeley,1,Main Campus,35893,0,0,8,,,0,,,1,0,9,0,0
2012,110635,University of California-Berkeley,3,University of California Washington Academic Cente,35893,0,0,0,,,0,,,0,0,0,0,0
2012,110644,University of California-Davis,1,Main Campus,32354,0,0,12,,,0,,,0,3,9,0,1
2012,110398,University of California-Hastings College of Law,1,Main Campus,1159,0,0,0,,,0,,,0,0,0,0,0
2012,110653,University of California-Irvine,1,UCI Main Campus,27479,0,0,8,,,0,,,1,3,27,0,1
2012,110662,University of California-Los Angeles,1,UCLA,39945,0,0,6,,,0,,,2,8,18,0,0
2012,445188,University of California-Merced,1,Main Campus,5760,0,0,0,,,0,,,0,0,1,0,0
2012,110671,University of California-Riverside,1,Main Campus,20947,0,0,5,,,0,,,1,0,31,0,0
2012,110680,University of California-San Diego,1,Main Campus,28294,0,0,9,,,0,,,0,5,4,0,0
2012,110699,University of California-San Francisco,1,Main Campus - Parnassus,3137,0,0,1,,,0,,,0,0,0,0,0
2012,110705,University of California-Santa Barbara,1,Main Campus,21927,0,0,6,,,0,,,0,0,16,0,0
