Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2014,110583,California State University-Long Beach,1,Main Campus,36809,0,0,,0,3,,0,0,1,1,5,4,0
2014,110617,California State University-Sacramento,1,Sacramento State,29349,0,0,,2,1,,0,0,1,1,6,4,1
2014,115755,Humboldt State University,1,Humboldt State University,8485,0,0,,4,1,,0,0,1,1,6,2,0
2014,122409,San Diego State University,1,Main Campus,33483,0,0,,12,3,,0,0,7,5,59,18,0
2014,122755,San Jose State University,1,Main Campus,32713,0,0,,2,13,,1,0,7,8,27,11,2
2014,123572,Sonoma State University,1,Sonoma State University,9290,0,0,,4,2,,0,0,1,1,2,0,0
2015,110422,California Polytechnic State University-San Luis Obispo,1,Main Campus,20944,0,0,,7,0,,0,0,0,1,7,7,2
2015,110529,California State Polytechnic University-Pomona,1,Main Campus,23717,0,0,,4,6,,0,1,1,0,8,18,1
2015,110538,California State University-Chico,1,Main Campus,17220,0,0,,3,1,,0,0,1,2,8,6,1
2015,110547,California State University-Dominguez Hills,1,California State University Dominguez Hills,14635,0,0,,0,2,,0,0,0,5,6,1,0
2015,110583,California State University-Long Beach,1,Main Campus,37446,0,0,,4,3,,0,1,0,0,10,8,0
2015,110617,California State University-Sacramento,1,Sacramento State,30284,0,0,,2,5,,0,0,5,4,7,2,1
2015,115755,Humboldt State University,1,Humboldt State University,8790,0,0,,6,3,,0,0,0,8,10,2,4
2015,122409,San Diego State University,1,Main Campus,34254,0,0,,9,13,,0,1,5,7,28,22,0
2015,122755,San Jose State University,1,Main Campus,32773,0,0,,2,11,,0,0,4,5,21,1,2
2015,123572,Sonoma State University,1,Sonoma State University,9408,0,0,,4,4,,0,0,0,0,24,2,0
